"id","subc_id","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean"
4058486834,509708645,9.7507,7.4,30.2814,623.6671,22.9921,-1.4086,24.4007,5.7914,13.1743,17.9507,1.7914,961.8421,104.7779,58.0478,14.1,281.8857,206.9379,227.4093,270.2214
4058592641,507540377,9.4322,7.0385,28.2873,651.1687,23.0901,-1.7691,24.8592,17.8676,4.9542,17.8676,1.1393,591.8169,63.3067,34.2101,19.389,183.2665,115.8653,183.2665,131.4361
4058584871,509302192,10.3095,7.6722,30.245,654.0545,24.0992,-1.2443,25.3435,17.1998,6.1036,18.8278,1.9528,765.0046,73.8967,50.0782,11.8058,216.3526,164.4363,211.4191,177.1868
4058490398,508239837,7.7887,7.1192,29.7837,613.9926,20.7728,-3.1465,23.9193,14.1854,3.4397,15.7343,-0.0571,797.9538,80.4348,50.6743,14.0671,231.038,168.0012,226.3821,188.047
4058511838,507470393,9.6701,7.0852,27.7425,675.0481,23.5643,-1.8765,25.4407,18.379,5.1362,18.379,1.0664,566.986,62.0481,34.4548,19.1924,177.1779,112.7251,177.1779,129.0908
4058501821,507094152,9.4494,7.0132,27.3725,683.0974,23.5046,-2.0892,25.5938,18.2621,4.8497,18.2621,0.75,531.5044,63.1037,31.3366,24.5656,180.7568,101.5273,180.7568,110.8004
4058474084,508545942,9.9496,6.9138,30.2683,586.2291,22.3711,-0.5256,22.8967,3.583,5.8635,17.5131,2.4384,1056.6049,100.8456,64.5659,10.8431,289.6059,229.8491,277.1725,270.1126
4058634984,508280090,7.9878,7.1853,29.8353,618.8065,21.0537,-2.987,24.0407,14.4468,3.6485,15.997,0.0829,775.7141,76.1848,48.9897,14.0052,224.8402,163.6225,219.2648,181.8749
4058564858,508293490,10.4161,7.1,31.4,565.9622,22.7182,0.15,22.5682,17.75,6.4161,17.75,3.15,808.2446,77.2,47.5661,11.7,222.9619,167.6961,222.9619,197.8262
4058634032,508490965,8.4178,7.4829,30.0601,641.4564,21.9108,-2.9645,24.8753,15.0927,2.4954,16.7161,0.2138,690.3089,72.462,42.7169,15.3816,205.3866,146.6995,198.4021,151.2643
4058495259,508366579,7.5475,6.6224,28.499,598.1255,19.9616,-3.2693,23.2308,1.1405,4.9312,15.2447,-0.1224,940.9374,93.9577,57.9473,12.0727,273.6794,205.8255,231.1823,256.216
4058564688,507417958,9.641,6.802,29.5686,592.1388,22.3622,-0.6762,23.0384,17.3364,5.4535,17.3364,2.1046,775.4968,75.5878,46.0519,12.932,217.7692,160.8753,217.7692,192.557
4058520436,506510279,8.8071,6.765,27.3497,654.9593,22.494,-2.2201,24.7141,17.3049,4.1692,17.3049,0.5438,569.351,63.3859,32.9649,20.4779,183.7402,111.8825,183.7402,121.1076
4058488388,507684639,9.6041,7.0177,30.2023,593.0353,22.345,-0.875,23.22,3.2179,5.4277,17.3065,2.052,903.7653,85.3845,52.3339,12.7675,251.1912,189.3818,241.9108,230.3232
4058464700,507880612,9.5587,6.9172,30.0482,586.9802,22.0609,-0.9448,23.0057,10.23,5.6342,17.1453,2.0419,912.6756,85.299,53.7982,12.1621,251.1735,194.9719,246.3779,229.5755
4058509672,509007636,8.6597,7.4758,30.9784,613.1033,21.7572,-2.2937,24.0509,15.117,4.4633,16.6365,0.8726,774.5728,72.7212,49.1544,10.1296,211.6846,167.9682,203.5041,193.4765
4058579778,508556173,7.7832,7.1206,28.3642,655.475,21.2387,-3.8575,25.0962,14.4829,2.4875,16.1933,-0.6525,812.3767,91.7938,49.3296,18.1541,247.2385,164.443,245.4376,185.4445
4058496706,507777524,8.6942,7.127,29.1253,635.1375,22.0958,-2.3684,24.4642,14.3699,4.1457,16.9069,0.6029,643.7422,67.5327,38.7085,17.4232,195.9897,134.8203,189.4812,147.744
4058574059,508263368,8.2997,7.0368,29.3527,619.9087,21.2636,-2.7021,23.9657,9.7558,4.8053,16.3261,0.344,849.446,85.1974,52.7897,12.872,245.0643,178.9559,223.3176,213.7063
4058609507,508583916,8.9556,7.2934,29.3449,646.3291,22.4395,-2.4303,24.8698,17.2812,1.7611,17.2812,0.6611,709.235,87.3113,40.531,24.0514,239.1995,135.8315,239.1995,139.2845
4058633101,506292274,8.8033,5.6418,26.4526,576.6669,20.7033,-0.6674,21.3707,13.4443,4.2634,16.3033,1.6634,872.7579,91.0869,43.0356,18.6622,253.6355,164.2739,248.4165,207.7358
4058477904,506769097,9.0019,6.8,27.2347,664.4923,22.7771,-2.2023,24.9794,17.6277,4.3865,17.6277,0.5955,551.8558,65.5113,32.1731,23.4946,186.4003,107.1497,186.4003,111.9693
4058578509,507917647,10.1536,6.8855,30.5042,571.5602,22.4748,-0.0124,22.4872,3.9818,6.1136,17.5423,2.8662,884.2726,82.2001,48.2024,12.9384,245.5494,187.0651,230.2034,225.4003
4058602686,507586747,9.4022,7.1,28.0358,665.803,23.1363,-2.0973,25.2336,18.0223,4.8333,18.0223,0.9027,589.8998,62.0404,35.2565,17.2446,180.4109,120.076,180.4109,139.0904
4058568580,507326871,8.8353,6.918,28.7515,624.9935,22.0144,-2.0306,24.0451,13.6753,5.0636,16.9016,0.8627,773.0072,77.9877,48.2358,14.0693,228.1589,165.1856,220.8392,188.1226
4058494382,508981430,9.9112,7.3,29.2551,647.1467,23.2753,-1.7084,24.9837,2.65,5.7503,18.2753,1.55,745.4963,71.4885,47.9616,8.8804,200.8062,166.3632,192.7871,193.2416
4058550362,507806698,9.4361,6.9775,29.9531,595.2459,22.1681,-1.1251,23.2932,3.046,5.2331,17.1575,1.8431,945.861,89.6135,56.3437,12.575,263.1812,201.6201,254.5618,241.2024
4058565704,506874965,8.9207,6.7707,27.7,644.5829,22.428,-1.95,24.378,17.2573,4.45,17.2573,0.8183,642.161,67.5805,34.7512,16.039,192.0927,130.922,192.0927,153.4537
4058494171,508815138,8.6141,7.1217,29.6128,620.5254,21.6287,-2.3934,24.0221,8.6059,5.4278,16.6475,0.6539,856.7095,85.7112,52.4093,12.8848,245.0607,179.5802,217.8983,222.7362
4058515082,506711780,9.2716,6.5427,28.7751,591.5219,21.9428,-0.7807,22.7236,16.9223,5.0258,16.9223,1.788,839.0913,86.3954,44.9153,15.7603,245.573,169.7299,245.573,205.3612
4058628671,507763324,9.7769,7.0985,30.646,585.5012,22.4124,-0.65,23.0624,17.3814,5.6332,17.3814,2.341,857.5935,78.7759,49.3464,12.7764,233.5666,176.9714,233.5666,211.5641
4058531385,506867212,8.5971,7.3413,28.4945,674.5177,22.4,-3.345,25.745,16.932,3.0522,17.2691,-0.0479,686.3543,83.3917,38.6569,24.0794,228.7993,132.4281,228.1494,145.1188
4058583314,508423123,9.244,7.7,30.3602,650.5259,23.0357,-2.35,25.3857,16.0426,2.05,17.65,0.944,576.2044,67.2273,30.8581,23.6984,188.5423,106.7876,184.758,108.3396
4058452973,506438847,8.7679,6.4902,28.8201,589.4742,21.3833,-1.1352,22.5185,16.4449,4.3637,16.4449,1.3849,885.5221,87.6479,46.6095,15.8159,250.4548,176.6323,250.4548,218.7739
4058504946,509118377,8.9471,7.4298,30.0762,639.6224,22.3283,-2.3846,24.713,2.7446,7.5306,17.258,0.7713,951.0512,96.3438,59.5798,11.2503,265.8844,210.0383,238.4878,252.7514
4058546109,507091770,9.4498,7.0387,27.3833,684.4804,23.5516,-2.1143,25.666,18.3047,4.8498,18.3047,0.7496,528.4383,63.4779,31.1912,24.7209,179.9346,100.9897,179.9346,109.9779
4058505429,508971884,9.1505,7.3209,30.0277,626.7315,22.2845,-2.1033,24.3878,2.2414,5.2021,17.2796,1.0784,865.0725,84.2907,54.2863,9.8205,237.9827,192.4593,220.4029,229.1392
4058549629,506539304,8.85,6.6015,28.6065,603.0721,21.8013,-1.3515,23.1529,16.6641,4.45,16.6641,1.25,785.4525,83.2938,45.3565,15.4084,234.3853,161.1827,234.3853,190.8351
4058607842,507193312,8.8228,6.9192,29.1663,613.0231,21.7997,-1.9163,23.716,12.3666,4.7291,16.7398,0.9891,856.9352,83.7188,52.485,12.8898,242.6221,181.5014,236.1165,215.223
4058553432,507829419,6.6355,6.9371,29.3464,602.2096,19.39,-4.2877,23.6776,0.3611,6.9933,14.3837,-1.0143,1010.1938,101.7544,62.0677,13.5008,294.3895,227.0311,255.4661,274.5759
4058505990,506799932,9.4024,6.8581,28.3923,628.8098,22.8621,-1.25,24.1121,17.5453,4.989,17.5453,1.45,662.8994,71.4096,39.153,15.5936,201.8984,135.9869,201.8984,156.7214
4058552437,506603813,8.9734,6.7,28.8363,603.2314,21.9327,-1.2673,23.2,16.8209,4.5866,16.8209,1.3666,806.5778,82.8578,46.4013,14.9162,238.6756,167.1304,238.6756,196.9108
4058532561,508658416,7.319,7.1915,28.3083,664.2346,20.788,-4.4951,25.2831,15.8549,2.888,15.8549,-1.181,935.4834,110.2462,58.7769,20.531,300.6642,194.8515,300.6642,211.1441
4058485388,508604480,8.5782,7.4167,29.0964,662.7493,22.2394,-3.2456,25.485,15.477,1.2198,17.077,0.0185,637.9806,71.4629,38.9335,17.7434,195.3309,130.9958,192.5299,132.7587
4058461558,507225030,9.4416,6.9454,27.5011,670.3943,23.3239,-1.9142,25.2382,18.1239,4.9191,18.1239,0.95,593.6473,61.6315,32.9332,17.7607,181.6068,118.3932,181.6068,140.4741
4058613271,506463635,8.8716,6.4945,28.7334,589.9253,21.4365,-1.0656,22.5021,16.5286,4.4852,16.5286,1.4456,888.7629,87.5118,46.4394,15.5654,252.2778,178.9048,252.2778,218.4822
4058609029,507762112,9.75,7.1,27.6133,679.4812,23.6194,-1.95,25.5694,18.55,5.25,18.55,1.0965,607.7768,70.907,36.8294,20.3349,192.049,123.1328,192.049,135.953
4058488024,507937479,9.5075,7.0576,27.7674,670.7311,23.2902,-2.098,25.3882,18.1899,5.0126,18.1899,0.972,625.1265,73.5153,37.829,20.9481,199.2658,125.4218,199.2658,139.3846
4058576975,508180265,9.4616,7,27.2062,679.5731,23.2438,-2.35,25.5938,18.25,4.95,18.25,0.75,698.8312,82.4059,42.5999,21.0429,225.606,142.3013,225.606,157.8539
4058453117,506404415,8.7576,6.0218,27.1412,591.538,21.1895,-0.984,22.1735,16.4817,4.2098,16.4817,1.3734,786.2295,82.4337,43.3561,16.5904,237.0002,153.9496,237.0002,185.5447
4058526033,506810809,9.4466,6.8607,28.3735,630.1006,22.9162,-1.2469,24.1631,17.6101,5.068,17.6101,1.4728,637.333,68.8322,37.8014,15.7281,193.9458,129.7993,193.9458,150.1284
4058529294,508444225,9.8478,6.9854,30.7655,575.0239,22.1831,-0.505,22.6881,16.9279,5.3375,17.3093,2.5024,748.0105,74.5072,50.8662,10.8268,212.7204,165.5475,212.5971,175.3203
4058503442,507509850,9.3775,6.9,29.8337,588.7661,22.1009,-0.9359,23.0367,3.064,5.2402,17.0321,1.8876,872.5704,83.9581,50.6705,12.8,244.1701,185.0771,232.7139,228.2943
4058505941,508617193,7.8327,6.9024,29.1044,610.9942,20.5178,-3.1882,23.706,1.2275,9.1808,15.7326,-3e-04,1026.988,110.4527,60.484,15.7644,314.039,216.7615,235.8775,296.3712
4058551824,506438607,8.8571,5.978,26.8271,594.5037,21.3181,-0.9357,22.2538,16.6156,4.2983,16.6156,1.4466,757.7261,80.977,42.0868,17.0314,232.3377,148.5517,232.3377,177.2058
4058582701,508665800,7.1197,7.2035,28.8625,644.3708,20.3761,-4.5503,24.9264,9.3347,2.6385,15.4001,-1.1756,901.5421,90.528,61.3235,10.967,247.4296,201.6491,241.5081,222.7924
4058609807,508748682,7.844,7,28.2461,654.282,21.1833,-3.5591,24.7425,16.2356,3.3699,16.2356,-0.5591,957.7586,113.5536,60.2895,20.5043,313.682,197.9279,313.682,203.6229
4058601973,506612201,9.2082,6.4035,28.498,586.8242,21.7238,-0.7412,22.465,16.7991,4.9973,16.7991,1.8013,854.6176,88.6981,44.5571,16.2811,250.8801,170.617,250.8801,205.9975
4058528046,508428255,7.7924,7.0897,28.3436,654.7831,21.1558,-3.8294,24.9852,16.1947,3.3171,16.1947,-0.6069,881.2774,103.9612,55.554,20.6513,283.1801,182.744,283.1801,198.144
4058476680,507799687,9.6616,7.1,27.7044,678.0674,23.5017,-2.0973,25.599,18.4202,5.132,18.4202,1.007,596.8948,70.1184,36.7821,20.7259,190.4103,121.3146,190.4103,132.0313
4058558992,506571515,9.2329,6.3489,28.4219,584.2846,21.6312,-0.6899,22.321,16.7724,5.0009,16.7724,1.8366,862.753,89.594,43.5732,16.9029,253.1487,169.1548,253.1487,205.5295
4058557790,508039386,9.5389,7.0998,27.9168,671.4857,23.3133,-2.1284,25.4417,18.2211,5.027,18.2211,0.9931,623.4228,73.5621,37.8218,20.8011,198.8404,125.5923,198.8404,138.6029
4058613578,507660353,9.5985,7,31.1459,569.4679,21.9896,-0.471,22.4606,3.4789,5.5157,16.987,2.362,923.5004,88.3525,51.1631,13.0041,259.5877,194.8261,240.6799,240.2236
4058591914,508315069,8.3483,7.0969,29.3029,627.8565,21.4407,-2.7792,24.2198,9.9122,4.2431,16.4692,0.2794,855.1966,84.9756,54.3364,11.9069,241.4732,183.6658,227.5378,211.8224
4058610695,508082108,8.6413,6.7123,29.4073,583.117,20.8976,-1.9386,22.8362,12.9471,4.4422,16.1285,1.1451,987.3216,90.4966,61.3502,10.9397,267.7247,214.5725,267.4657,247.0162
4058584343,508669801,9.2087,7.1995,29.3409,631.8606,22.4086,-1.9505,24.359,15.8091,5.026,17.326,1.0325,706.1995,69.872,43.9062,12.8,201.2415,144.459,190.8227,170.5372
4058568515,507176838,8.8283,6.9191,29.1689,612.9484,21.8054,-1.9076,23.713,12.4055,4.7333,16.7449,0.9962,856.2831,83.65,52.4348,12.8883,242.4273,181.3473,235.972,215.0475
4058488865,509739120,9.6456,7.483,31.0918,609.2015,22.7244,-1.2752,23.9996,5.7834,7.3823,17.6275,1.8952,966.5789,103.8922,60.4945,13.0822,279.6461,209.6086,234.7076,264.5091
4058567366,506767541,8.6384,6.4394,26.5596,648.2091,21.9939,-2.237,24.2309,17.0172,4.0594,17.0172,0.4479,598.9931,66.2978,34.3026,17.4101,183.7645,121.2323,183.7645,136.5449
4058522584,508466403,8.9272,7.0537,28.5033,646.7968,22.318,-2.3953,24.7133,17.2679,4.4912,17.2679,0.6396,771.6844,89.0768,48.4649,18.6745,241.5691,161.0319,241.5691,172.5461
4058565032,508504396,7.6799,6.5828,28.3494,601.1351,20.0244,-3.1221,23.1465,1.1943,10.9946,15.3905,-0.0617,1343.9789,147.6898,76.2836,18.1459,421.0788,265.169,303.9942,401.6881
4058539759,506627827,9.1844,6.7,28.5,609.6313,22.25,-1.15,23.4,17.0844,4.7844,17.0844,1.4844,745.1656,76.4656,43.7,14.7,221.6344,155.1656,221.6344,179.7656
4058567038,508944014,7.34,7.161,28.3177,664.1973,20.871,-4.4235,25.2946,15.8488,2.8514,15.8488,-1.2204,820.3037,96.073,50.643,18.5975,260.0766,164.8952,260.0766,181.7213
4058486431,508677878,8.8095,6.8382,29.405,597.8189,21.2881,-1.9549,23.2431,3.5942,10.6893,16.5158,1.1208,1147.6492,119.1201,67.1928,14.4824,341.858,238.5022,276.2134,323.5373
4058538795,506440890,8.9042,6.4612,28.7027,589.7481,21.4569,-1.0148,22.4718,16.563,4.5071,16.563,1.5042,877.5802,86.0638,45.3392,15.7439,246.9053,175.9493,246.9053,217.2851
4058570924,508638245,7.97,6.7017,28.4003,613.4767,20.5302,-3.0492,23.5794,1.304,11.3998,15.844,0.0632,1205.6876,132.2276,68.8454,17.7453,375.9867,239.2627,273.2386,359.9931
4058465357,507001498,8.8712,6.5183,26.9391,645.514,22.2252,-1.9796,24.2048,16.8886,4.3415,17.217,0.7155,611.735,65.5417,33.7441,16.1262,182.3943,124.9939,182.3371,144.6
4058552963,506298975,8.6665,6.216,28.5432,574.3366,20.8093,-0.9562,21.7655,12.962,4.2261,16.1209,1.5315,894.1808,96.8203,45.0351,19.7728,263.5155,165.2285,254.2127,207.8876
4058468013,507069768,9.0512,6.6519,27.2552,648.1863,22.5261,-1.8788,24.4049,17.3155,4.5581,17.428,0.8532,608.1785,64.5061,33.2751,16.4827,183.5616,123.4623,183.542,143.8006
4058503931,507804526,9.9611,6.9939,30.8698,574.1038,22.3743,-0.2223,22.5966,3.7733,5.885,17.3961,2.6465,873.9746,82.7186,47.8327,12.9659,243.7557,185.029,226.8495,226.2458
4058594382,507640030,9.2613,7.1407,29.2151,634.6753,22.7575,-1.6791,24.4366,17.0188,4.8279,17.4879,1.1983,575.8435,62.5766,32.8809,19.7008,180.4872,113.7914,180.275,124.4385
4058576197,507630614,9.0321,7.0683,28.8837,637.9922,22.4274,-2.0426,24.47,17.1539,4.5798,17.2722,0.8893,649.861,66.4278,40.2783,14.9545,193.0804,137.6515,193.0639,149.1754
4058617083,508174552,9.4178,7.2105,28.7146,658.1082,23.0933,-2.0822,25.1755,17.9214,4.9178,17.9214,1.0242,651.7175,75.495,39.1853,18.4247,202.2889,135.8599,202.2889,146.6848
4058550781,507968887,8.1897,6.7839,29.5552,580.4015,20.5617,-2.2923,22.8539,1.9865,3.9872,15.6949,0.7696,989.6078,94.0463,60.8616,12.1737,276.4441,216.8084,263.3683,252.974
4058519641,507207375,9.0637,6.9015,28.6882,624.4541,22.2907,-1.7372,24.0279,15.1947,5.0661,17.1372,1.1109,748.1628,75.5711,46.2675,13.9208,219.885,158.9855,215.4779,183.0022
4058626284,507623822,8.9952,6.8261,29.7215,587.5895,21.6152,-1.3616,22.9768,2.7096,4.8062,16.6309,1.5225,978.5004,95.1429,57.5237,13.0027,274.3407,208.7359,263.9124,257.1608
4058494565,509299667,10.3019,7.6435,30.1738,654.9623,24.0863,-1.2601,25.3464,17.21,6.0956,18.8425,1.9367,748.9695,72.7042,48.9261,11.9186,212.3192,160.3928,207.4138,173.5475
4058545409,507173161,9.2226,6.8816,27.4491,666.5838,23,-2.0674,25.0674,17.834,4.6717,17.834,0.7767,621.4547,64.3418,34.7174,16.9316,187.7839,125.5333,187.7839,148.6634
4058463558,508189250,7.1724,6.4872,28.6952,578.7666,19.2429,-3.3402,22.5831,1.0479,10.1661,14.6021,-0.2219,1197.712,120.041,73.6866,12.7254,351.6535,259.5503,293.3931,329.8616
