"id","subc_id","bio1_mean","bio12_mean","bio15_mean"
4058466445,506268456,8.6494,853.3483,19.7962
4058497123,507860206,9.7447,595.4355,20.8932
4058602634,508156470,9.75,628.0587,20.9995
4058625498,506612200,9.2081,854.6434,16.2806
4058621302,506355644,8.7231,857.8593,16.7589
4058632281,506346776,8.7054,841.366,16.714
4058632290,506422241,8.7539,804.1161,16.1133
4058469475,506298995,8.8925,772.8863,17.0209
4058453540,507186142,9.4502,589.2456,18.1194
4058506300,506626679,8.8131,556.8205,18.2993
4058579620,508681274,8.3643,684.4233,23.542
4058528503,507550738,8.1738,912.9661,13.0861
4058599306,506660143,8.8954,713.4902,14.8326
4058521653,507739457,9.85,600.4979,20.1
4058618283,506270946,8.6429,849.7475,19.8431
4058495120,509214374,8.8803,828.6774,13.3884
4058565614,506882174,8.9169,640.684,16.0257
4058544127,507260844,9.6153,587.657,20.1919
4058567007,507999819,9.75,594.519,19.4795
4058498126,506992195,9.2623,627.293,19.2903
4058524501,507273280,9.531,713.2378,13.6063
4058605516,506960119,9.1057,798.9962,13.3704
4058515302,506700364,8.9745,692.1624,14.8575
4058475644,507061284,9.2611,628.2962,19.3534
4058531508,506616117,9.2077,854.9122,16.2753
4058481665,506962494,8.8625,605.8596,16.8432
4058521634,507006105,9.0604,609.3665,18.0781
4058632279,506331881,8.7659,866.3713,17.1807
4058625497,506820013,9.4472,636.996,15.7307
4058521659,506984701,9.0057,605.9408,19.5001
4058521646,507081831,9.2953,631.8103,19.8376
4058616144,507133128,9.551,571.7498,18.3298
4058567616,507427665,8.7982,680.1289,33.9956
4058463951,507878476,9.7351,899.5806,12.2983
4058524497,506898583,8.85,822.8851,13.1151
4058616136,507833894,9.6719,592.4177,21.2965
4058475645,506846173,8.9401,592.5884,20.4606
4058498122,507540377,9.4322,591.8169,19.389
4058565646,507426249,9.6062,603.1584,19.551
4058481616,506836366,8.8453,633.7678,16.6666
4058560947,507905482,9.7283,892.5188,12.1968
4058632285,506335889,8.7913,793.139,16.5122
4058481650,507739457,9.85,600.4979,20.1
4058556468,506360643,8.75,853.387,16.8
4058553288,506367148,8.7885,777.5282,17.3176
4058525509,506867212,8.5971,686.3543,24.0794
4058550279,506302984,8.8667,777.5167,16.3853
4058498130,507811042,9.5271,639.1104,21.1807
4058497111,507394037,9.4901,567.6951,19.7448
4058498135,506922210,9.4994,587.9395,17.0069
4058555959,507922048,9.6887,912.8978,12.3756
4058469470,506477023,8.7819,828.7191,15.6095
4058524502,506606743,9.35,840.4906,18.549
4058550296,506621797,9.0125,781.1216,14.8876
4058561461,506423918,8.7535,805.6416,16.0797
4058531507,506870285,8.5971,686.3548,24.0795
4058561460,506360643,8.75,853.387,16.8
4058547540,507186142,9.4502,589.2456,18.1194
4058477628,507333361,9.5486,581.2373,17.572
4058466443,506314737,8.8203,786.51,16.4882
4058497113,507636609,9.65,536.2807,22.0931
4058525502,506810809,9.4466,637.333,15.7281
4058495119,508415926,7.5139,1104.2595,15.2879
4058466468,506367400,8.6897,843.7383,16.1983
4058475605,506740454,8.6397,601.0334,17.6125
4058549291,506736480,8.7373,595.6702,16.6814
4058550284,506309824,8.7566,867.093,18.7298
4058550269,506424468,8.75,819.9806,15.6687
4058632293,506331416,8.7547,803.9115,16.535
4058503131,506922210,9.4994,587.9395,17.0069
4058469467,506360643,8.75,853.387,16.8
4058475636,507028004,9.102,615.4123,16.9151
4058521606,506752936,8.6491,595.3221,17.5437
4058565637,507557088,9.5621,602.5329,19.4496
4058602636,506877540,8.8859,633.7594,16.665
4058521657,507041595,9.409,586.4711,17.2024
4058469449,506345057,9.0562,714.6319,18.0408
4058562306,506572678,8.9122,746.5407,15.1638
4058503135,507434918,9.3008,613.595,15.8045
4058544118,506953021,9.3754,660.2829,14.9258
4058541115,509072934,8.6877,1008.6315,12.4145
4058567649,507114626,9.55,566.8095,18.5697
4058625503,506820013,9.4472,636.996,15.7307
4058567657,507707803,8.9715,718.3452,22.9729
4058521654,507778362,9.0671,706.4923,22.7591
4058602640,506878118,8.8865,602.3584,19.4467
4058598955,507919891,10.05,867.7184,12.1719
4058602639,506769097,9.0019,551.8558,23.4946
4058464947,507935796,9.9742,894.5763,12.3893
4058477651,507604439,9.75,613.9769,19.6
4058481641,508156470,9.75,628.0587,20.9995
4058550300,506368874,8.8121,909.8307,18.236
4058518007,508574867,8.06,741.2663,25.228
4058481643,506838905,8.8409,626.2723,15.6421
4058618289,506344273,8.7679,862.175,17
4058475635,507092344,9.35,588.3025,17.0166
4058618279,506308479,8.8421,781.6239,16.4395
4058481656,507001534,9.0779,613.6501,17.5445
4058498127,507757789,8.2184,715.49,29.313
4058568492,506872847,8.597,686.3607,24.0801
4058498133,506992195,9.2623,627.293,19.2903
4058610978,509632917,8.4821,969.2152,12.4312
4058464952,508106045,8.171,1144.721,10.9515
4058602645,507774859,9.6422,611.9809,21.3855
4058602620,507258497,8.8126,678.0658,33.6766
4058506298,506733588,8.7429,606.5887,16.806
4058475608,506952590,8.9583,628.0661,18.2192
4058632311,506580218,8.9111,746.3103,15.1688
4058555949,507946578,10.021,870.514,11.9759
4058595118,507757775,8.2274,714.9214,29.2227
4058462953,508172953,8.4019,1182.0298,13.7245
4058602643,507774859,9.6422,611.9809,21.3855
4058476646,507745870,9.75,591.86,20.3
4058470950,507670803,9.6894,873.6226,12.8608
4058625495,506816482,9.447,637.2638,15.7287
4058598961,507862186,8.3798,959.8779,11.6475
4058625502,506611422,9.2079,854.3881,16.2829
4058561458,506478906,8.9216,727.7249,16.5704
4058469460,506330492,8.8389,821.8466,17
4058469461,506354950,8.7982,784.6012,16.6602
4058550292,506621797,9.0125,781.1216,14.8876
4058477670,507487349,8.793,680.7911,34.1397
4058568503,507042621,9.1377,810.739,13.5816
4058605518,506813868,9.45,648.7941,15.5412
4058521610,506924432,9.4476,602.831,16.5867
4058544136,506922210,9.4994,587.9395,17.0069
4058567644,507701435,9.6958,598.6322,20.3213
4058567613,506700948,8.8437,567.9131,19.7457
4058556451,506328374,8.8375,818.472,17.0982
4058525517,506976496,9.0986,799.0312,13.3339
4058565622,506810418,8.9209,569.3528,21.6408
4058553293,506422241,8.7539,804.1161,16.1133
4058544119,507682082,8.6067,670.0789,16.299
4058553291,506370906,8.8114,910.0745,18.2337
4058476642,507774859,9.6422,611.9809,21.3855
4058463953,508126854,9.966,951.4711,11.7063
4058524493,506822488,9.4472,636.9842,15.7308
4058475643,507735270,9.7729,594.2622,20.1472
4058550298,506389387,8.716,832.5387,15.9587
4058531514,507005318,9.5652,768.7693,14.0475
4058567009,508312932,9.4632,652.1326,21.2806
4058561457,506372925,8.7739,944.7393,19.5627
4058525503,506874389,9.45,618.5446,16.334
4058481646,508039386,9.5389,623.4228,20.8011
4058521643,506800520,8.8549,630.3604,15.4979
4058619292,506626679,8.8131,556.8205,18.2993
4058549293,506474689,8.7475,687.8669,17.1658
4058477619,506915310,8.8489,611.5438,16.1127
4058632280,506331416,8.7547,803.9115,16.535
4058618284,506312798,8.8139,790.8022,16.4511
4058559304,506416192,8.7041,822.3825,15.9402
4058461540,507257839,9.1897,653.4478,20.4393
4058521615,507021712,9.2543,555.1682,23.6676
4058481667,507604439,9.75,613.9769,19.6
4058503133,506922210,9.4994,587.9395,17.0069
4058632297,506264682,8.5634,895.5398,20.2929
4058475632,506906413,9.1206,607.043,16.2088
4058565641,506848656,8.5973,686.3427,24.0779
4058586126,507757789,8.2184,715.49,29.313
4058476660,507796070,9.75,596.6181,20.4
4058544116,506907383,9.45,612.163,16.4
4058556448,506364061,8.7533,790.6119,17.4129
4058567642,506729840,8.9914,552.7819,23.4844
4058481618,507072777,9.0504,608.2395,16.4804
4058632295,506627827,9.1844,745.1656,14.7
4058528508,506815418,9.4466,637.3237,15.7283
4058625499,506972563,9.0988,799.0131,13.3344
4058567617,507180672,8.8128,678.0153,33.6737
4058565666,507258497,8.8126,678.0658,33.6766
4058618287,506472307,8.7602,825.4542,15.7834
4058586130,507039197,9.45,577.5768,17.3936
4058489972,509733563,9.6139,954.1168,14.111
