"id","subc_id","outlet_dist_dw_basin_mean","outlet_dist_dw_scatch_mean","channel_dist_up_seg_mean","strahler","elev_mean"
"4058453540",507186142,"472114.6304","332.3283","249.9576","1.7931","34.2615"
"4058461540",507257839,"643885.3489","337.9567","255.6371","2.0311","119.1462"
"4058462953",508172953,"433405.0590","353.1951","253.7173","2.0820","331.8084"
"4058463951",507878476,"437031.1572","359.3617","286.2300","1.7653","89.0797"
"4058463953",508126854,"320506.6766","285.6463","201.3121","1.6957","101.4645"
"4058464947",507935796,"358246.1110","297.3584","223.2511","1.9592","78.0789"
"4058464952",508106045,"454335.6186","339.3102","248.3546","1.8670","365.9679"
"4058466443",506314737,"26317.3407","367.7567","265.3615","1.8832","45.4448"
"4058466445",506268456,"50839.7953","385.6436","299.1307","1.8000","20.8568"
"4058466468",506367400,"42298.6012","345.8672","257.0771","1.9332","45.6407"
"4058469449",506345057,"19933.9073","350.1529","272.1657","1.8529","25.5829"
"4058469460",506330492,"112216.3281","215.5653","150.3500","2.2500","21.6301"
"4058469461",506354950,"53054.4731","315.6058","217.2290","1.6250","43.9061"
"4058469467",506360643,"130269.9531","325.3478","332.1667","2.0000","25.8826"
"4058469470",506477023,"84508.6752","331.1011","248.8445","1.9944","40.1308"
"4058469475",506298995,"4927.3403","310.3023","235.2691","2.0000","17.8276"
"4058470950",507670803,"311366.2299","345.1511","271.3065","1.9987","92.2698"
"4058475605",506740454,"581028.2096","294.5325","203.1592","1.7059","92.3350"
"4058475608",506952590,"221956.7424","353.2178","259.7542","1.8511","66.7010"
"4058475632",506906413,"398255.8461","358.0311","268.0696","1.8902","48.4937"
"4058475635",507092344,"460728.6071","317.7501","248.6446","1.7143","34.6246"
"4058475636",507028004,"309756.3163","326.4384","251.6528","2.0040","54.9740"
"4058475643",507735270,"653507.9554","455.5352","353.1968","1.5714","48.0728"
"4058475644",507061284,"540476.3183","337.3257","255.8083","2.0308","92.6152"
"4058475645",506846173,"193028.9736","351.9845","259.3226","2.0284","63.0848"
"4058476642",507774859,"681739.5647","330.9958","256.1810","1.9856","84.6840"
"4058476646",507745870,"651728.8750","216.9000","195.0000","2.0000","47.4100"
"4058476660",507796070,"657832.8438","294.2145","209.4139","1.5000","59.6046"
"4058477619",506915310,"430136.4473","349.8564","259.5101","2.0282","67.5562"
"4058477628",507333361,"377635.3708","345.0316","271.0401","1.9853","58.4561"
"4058477651",507604439,"620865.4444","300.2041","239.4475","1.6667","45.1048"
"4058477670",507487349,"640102.5985","344.2684","263.3896","2.0162","220.3203"
"4058481616",506836366,"260826.0460","333.8698","256.9161","2.0065","73.0589"
"4058481618",507072777,"373507.1617","339.0052","255.8088","2.0338","56.8606"
"4058481641",508156470,"577864.9219","329.2423","309.4896","1.5000","97.9609"
"4058481643",506838905,"534735.6217","338.0041","259.5254","1.8994","71.9746"
"4058481646",508039386,"579627.2962","335.7810","261.3518","1.9755","111.2075"
"4058481650",507739457,"641336.2250","280.1710","234.9689","1.7000","48.8812"
"4058481656",507001534,"222620.8008","338.0082","254.6197","2.0009","57.9284"
"4058481665",506962494,"547242.3401","338.8878","252.3748","2.0069","68.4816"
"4058481667",507604439,"620865.4444","300.2041","239.4475","1.6667","45.1048"
"4058489972",509733563,"870901.5190","370.5559","276.1746","1.7321","297.6432"
"4058495119",508415926,"619923.4330","369.7420","264.4464","2.0526","473.0163"
"4058495120",509214374,"949326.5384","353.9273","258.9140","2.0623","347.5649"
"4058497111",507394037,"321526.6267","319.8806","233.6453","1.9815","62.0705"
"4058497113",507636609,"359108.3438","229.6530","193.3889","1.5000","54.2590"
"4058497123",507860206,"524566.1015","333.1082","253.1176","1.9635","83.5807"
"4058498122",507540377,"392583.0547","319.7795","247.4988","1.9399","89.6821"
"4058498126",506992195,"531801.1831","337.0266","255.6796","2.0306","90.8914"
"4058498127",507757789,"923388.0097","349.6119","259.9361","2.0452","410.4307"
"4058498130",507811042,"571720.1258","335.6819","258.0294","1.9987","121.7149"
"4058498133",506992195,"531801.1831","337.0266","255.6796","2.0306","90.8914"
"4058498135",506922210,"263271.4212","334.7595","260.2433","1.9657","40.4861"
"4058503131",506922210,"263271.4212","334.7595","260.2433","1.9657","40.4861"
"4058503133",506922210,"263271.4212","334.7595","260.2433","1.9657","40.4861"
"4058503135",507434918,"407544.7260","335.4834","257.7449","2.0082","87.1269"
"4058506298",506733588,"460285.7841","350.4857","260.1318","1.9765","70.8196"
"4058506300",506626679,"195847.7734","499.5410","392.2946","2.5000","46.9476"
"4058515302",506700364,"159950.1160","334.9656","258.6632","1.9572","38.3722"
"4058518007",508574867,"687038.0400","356.1507","247.4152","1.9126","329.5856"
"4058521606",506752936,"581681.6628","342.0585","248.5419","1.9000","90.5987"
"4058521610",506924432,"220730.9873","319.4510","225.4340","1.9375","23.0613"
"4058521615",507021712,"174249.8292","411.8364","356.1508","2.2000","19.1441"
"4058521634",507006105,"215049.0044","339.8858","256.9360","2.0108","60.1907"
"4058521643",506800520,"418748.5223","466.5999","364.6503","1.8571","73.4227"
"4058521646",507081831,"569261.5778","337.0293","255.8224","2.0302","98.7979"
"4058521653",507739457,"641336.2250","280.1710","234.9689","1.7000","48.8812"
"4058521654",507778362,"780587.2991","347.6784","261.4966","2.0575","190.9117"
"4058521657",507041595,"314545.9375","319.4363","239.6595","1.5000","31.1436"
"4058521659",506984701,"200346.2751","332.0641","247.9628","1.9346","59.0017"
"4058524493",506822488,"189254.7277","332.5509","256.3107","1.9867","39.2687"
"4058524497",506898583,"374459.1410","354.4909","262.3829","2.0470","205.1484"
"4058524501",507273280,"254326.1181","321.2762","246.1824","1.9948","65.8761"
"4058524502",506606743,"10752.0554","496.6550","327.1771","1.5000","3.3656"
"4058525502",506810809,"188033.6464","331.6860","255.5952","1.9894","38.6013"
"4058525503",506874389,"191952.7612","333.2488","251.3320","1.8571","19.1848"
"4058525509",506867212,"728020.1037","348.1685","259.9647","2.0446","290.9802"
"4058525517",506976496,"278252.8848","345.6948","261.8730","2.0182","127.0316"
"4058528503",507550738,"335886.3449","369.6475","280.0619","1.9796","264.6244"
"4058528508",506815418,"188074.1461","331.7072","255.6104","1.9885","38.6197"
"4058531507",506870285,"728024.5939","348.1687","259.9652","2.0446","290.9825"
"4058531508",506616117,"27524.8561","313.9789","237.2659","1.9369","33.0328"
"4058531514",507005318,"86378.1470","308.3101","223.8953","1.9200","38.2250"
"4058541115",509072934,"695472.7087","349.9517","252.7444","1.9388","342.6867"
"4058544116",506907383,"203933.1172","317.7869","242.7917","3.5000","21.2970"
"4058544118",506953021,"198758.4030","331.7167","254.3046","1.9526","53.1412"
"4058544119",507682082,"520638.1471","361.8047","270.8832","2.0025","211.5839"
"4058544127",507260844,"329859.4954","329.1998","251.7146","1.9148","34.9019"
"4058544136",506922210,"263271.4212","334.7595","260.2433","1.9657","40.4861"
"4058547540",507186142,"472114.6304","332.3283","249.9576","1.7931","34.2615"
"4058549291",506736480,"568715.6667","288.9777","203.7139","2.0000","77.3090"
"4058549293",506474689,"115559.5756","336.3159","251.8502","1.8819","54.7313"
"4058550269",506424468,"85611.1840","278.3301","228.3559","1.8000","33.7598"
"4058550279",506302984,"6146.3271","322.3540","242.5222","1.8684","42.3226"
"4058550284",506309824,"85727.1596","371.2136","269.9144","1.9256","17.6120"
"4058550292",506621797,"115518.8172","325.4677","249.1380","1.9346","38.6696"
"4058550296",506621797,"115518.8172","325.4677","249.1380","1.9346","38.6696"
"4058550298",506389387,"52415.8447","321.0068","242.8146","2.0112","44.3240"
"4058550300",506368874,"69767.9658","328.8915","245.4513","1.9729","24.6750"
"4058553288",506367148,"61904.0823","380.9471","290.1141","1.8687","61.4589"
"4058553291",506370906,"69838.8321","328.9910","245.3658","1.9625","24.8016"
"4058553293",506422241,"106561.2721","340.9278","253.4632","1.9616","44.3991"
"4058555949",507946578,"382746.1004","367.4722","246.2247","1.8571","71.7645"
"4058555959",507922048,"438818.4815","348.4775","271.9838","1.9560","100.0891"
"4058556448",506364061,"64432.9210","376.5392","289.3410","1.7850","68.9329"
"4058556451",506328374,"109777.7051","298.8762","244.7893","2.2500","23.2634"
"4058556468",506360643,"130269.9531","325.3478","332.1667","2.0000","25.8826"
"4058559304",506416192,"101313.5896","342.2401","251.9794","1.9565","48.9662"
"4058560947",507905482,"437811.1275","321.4559","265.1415","1.8652","88.2549"
"4058561457",506372925,"52072.5365","343.7431","259.8017","1.7943","27.0535"
"4058561458",506478906,"43555.7974","328.9263","250.1782","1.9438","18.9894"
"4058561460",506360643,"130269.9531","325.3478","332.1667","2.0000","25.8826"
"4058561461",506423918,"105276.5887","341.2402","253.9469","1.9756","43.8726"
"4058562306",506572678,"85894.8693","331.6519","249.1783","1.9533","37.9081"
"4058565614",506882174,"386480.6684","351.0009","263.0409","1.8390","71.9042"
"4058565622",506810418,"178662.8985","349.9014","262.7827","2.0170","52.0087"
"4058565637",507557088,"604161.5439","357.4057","273.8675","1.9171","63.1293"
"4058565641",506848656,"727917.8064","348.1714","259.9641","2.0448","290.9288"
"4058565646",507426249,"548238.4383","342.8217","259.8556","1.9893","65.7702"
"4058565666",507258497,"626438.6455","344.0705","263.2237","2.0161","214.5984"
"4058567007",507999819,"522136.6016","354.9169","263.5555","1.7500","81.2855"
"4058567009",508312932,"583610.9668","325.5309","247.6297","1.8146","156.4226"
"4058567613",506700948,"129490.9689","361.0601","270.7787","1.9188","56.1435"
"4058567616",507427665,"635953.1634","344.2122","263.3276","2.0167","218.6695"
"4058567617",507180672,"626301.0035","344.0702","263.2197","2.0166","214.5304"
"4058567642",506729840,"138795.4844","394.3869","276.4252","1.6563","11.5887"
"4058567644",507701435,"658481.3562","323.9258","251.6439","1.9524","70.6464"
"4058567649",507114626,"278440.2031","377.4386","336.6970","2.6667","27.2199"
"4058567657",507707803,"775103.6450","343.8516","259.8565","2.0361","195.2453"
"4058568492",506872847,"728071.3058","348.1697","259.9659","2.0446","291.0061"
"4058568503",507042621,"244730.3738","327.8887","250.6370","1.9796","80.9950"
"4058579620",508681274,"670787.6442","349.7215","254.1141","2.0321","396.1523"
"4058586126",507757789,"923388.0097","349.6119","259.9361","2.0452","410.4307"
"4058586130",507039197,"262562.6875","276.6737","201.2222","1.5000","26.7778"
"4058595118",507757775,"919914.2607","349.5290","259.9343","2.0460","408.2069"
"4058598955",507919891,"377083.4125","392.2873","342.6650","1.6000","66.2479"
"4058598961",507862186,"497999.4522","362.8746","261.9785","2.0648","319.6688"
"4058599306",506660143,"148747.6717","335.8958","252.9273","2.0054","45.5898"
"4058602620",507258497,"626438.6455","344.0705","263.2237","2.0161","214.5984"
"4058602634",508156470,"577864.9219","329.2423","309.4896","1.5000","97.9609"
"4058602636",506877540,"256651.1119","331.6988","255.2437","2.0113","69.3260"
"4058602639",506769097,"134217.2268","337.5643","247.2391","1.9392","14.6355"
"4058602640",506878118,"195104.1952","356.0834","262.2150","1.9921","71.2235"
"4058602643",507774859,"681739.5647","330.9958","256.1810","1.9856","84.6840"
"4058602645",507774859,"681739.5647","330.9958","256.1810","1.9856","84.6840"
"4058605516",506960119,"274858.3042","345.2054","261.5535","2.0186","125.2361"
"4058605518",506813868,"138187.6406","233.6471","192.0000","2.0000","12.1059"
"4058610978",509632917,"800765.6775","349.4650","256.1911","1.9572","453.2349"
"4058616136",507833894,"531159.9106","327.8795","254.5386","1.9913","92.3143"
"4058616144",507133128,"274359.8760","343.7909","270.8693","1.9208","43.6136"
"4058618279",506308479,"7376.0211","310.1016","233.0875","1.8235","44.2892"
"4058618283",506270946,"66261.1918","329.7716","248.8190","1.9543","30.2316"
"4058618284",506312798,"28346.8118","385.8001","278.9162","1.8764","47.3217"
"4058618287",506472307,"93788.7427","333.1952","248.9500","1.9926","40.7326"
"4058618289",506344273,"120035.7096","249.9439","192.0972","2.0000","25.3726"
"4058619292",506626679,"195847.7734","499.5410","392.2946","2.5000","46.9476"
"4058621302",506355644,"135329.8425","332.9260","252.9002","1.9488","38.3252"
"4058625495",506816482,"188209.4473","331.8145","255.7135","1.9884","38.6169"
"4058625497",506820013,"189214.0088","332.5558","256.3204","1.9871","39.2544"
"4058625498",506612200,"27179.8195","314.2143","237.0225","1.9474","32.6654"
"4058625499",506972563,"278188.2883","345.6887","261.8638","2.0182","126.9905"
"4058625502",506611422,"27018.7339","315.7629","237.7766","1.9493","32.5874"
"4058625503",506820013,"189214.0088","332.5558","256.3204","1.9871","39.2544"
"4058632279",506331881,"106504.6020","331.4897","248.4621","1.8250","30.0669"
"4058632280",506331416,"39662.1692","353.1925","260.2220","1.9874","42.7179"
"4058632281",506346776,"30720.6957","361.1039","279.2260","1.8261","43.2767"
"4058632285",506335889,"25969.9295","349.8083","251.3226","1.9137","41.8453"
"4058632290",506422241,"106561.2721","340.9278","253.4632","1.9616","44.3991"
"4058632293",506331416,"39662.1692","353.1925","260.2220","1.9874","42.7179"
"4058632295",506627827,"102099.5313","378.0938","387.1250","2.0000","11.2938"
"4058632297",506264682,"69171.7946","308.8951","224.6907","1.7051","36.7615"
"4058632311",506580218,"86303.8385","331.7554","249.5672","1.9335","38.1843"
